B cell,4930523C07Rik
B cell,Bank1
B cell,Blnk
B cell,Btla
B cell,Cd19
B cell,Cd22
B cell,Cd37
B cell,Cd79a
B cell,Cd79b
B cell,Ckap4
B cell,Cmah
B cell,Creld2
B cell,Derl3
B cell,Dnajc3
B cell,Eaf2
B cell,Ebf1
B cell,Edem1
B cell,Edem2
B cell,Fam46c
B cell,Fchsd2
B cell,Fcmr
B cell,Fcrla
B cell,Fkbp11
B cell,Gm43291
B cell,Gm43603
B cell,Gm8369
B cell,H13
B cell,H2-DMb2
B cell,H2-Oa
B cell,H2-Ob
B cell,Hsp90b1
B cell,Hspa5
B cell,Hvcn1
B cell,Jchain
B cell,Krtcap2
B cell,Ly6d
B cell,Manf
B cell,Mef2c
B cell,Ms4a1
B cell,Mzb1
B cell,Pafah1b3
B cell,Pax5
B cell,Pold4
B cell,Pou2af1
B cell,Prdx4
B cell,Ptp4a3
B cell,Ralgps2
B cell,Rexo2
B cell,Scd1
B cell,Sdf2l1
B cell,Sec11c
B cell,Sec61a1
B cell,Sec61b
B cell,Serp1
B cell,Siglecg
B cell,Slpi
B cell,Smap2
B cell,Snx2
B cell,Spcs3
B cell,Spib
B cell,Srp9
B cell,Ssr4
B cell,Tnfrsf13b
B cell,Tnfrsf13c
B cell,Tnfrsf17
B cell,Trp53inp1
B cell,Txndc11
B cell,Txndc5
B cell,Vpreb3
B cell,Xbp1
Collecting duct intercalated cell,9130008F23Rik
Collecting duct intercalated cell,Atp6v0d2
Collecting duct intercalated cell,Atp6v1g3
Collecting duct intercalated cell,Car2
Collecting duct intercalated cell,Chchd10
Collecting duct intercalated cell,Cycs
Collecting duct intercalated cell,Fam13a
Collecting duct intercalated cell,Hmx2
Collecting duct intercalated cell,Mif
Collecting duct intercalated cell,Mme
Collecting duct intercalated cell,Oxgr1
Collecting duct intercalated cell,Slc25a4
Collecting duct intercalated cell,Tbc1d24
Collecting duct intercalated cell,Tmem61
Collecting duct intercalated cell,Uqcrb
Collecting duct intercalated cell,Acat1
Collecting duct intercalated cell,Aco2
Collecting duct intercalated cell,Aldh1l1
Collecting duct intercalated cell,Aldoa
Collecting duct intercalated cell,Aplp2
Collecting duct intercalated cell,Aqp6
Collecting duct intercalated cell,Atp12a
Collecting duct intercalated cell,Atp1b1
Collecting duct intercalated cell,Atp6ap1
Collecting duct intercalated cell,Atp6ap2
Collecting duct intercalated cell,Atp6v0a4
Collecting duct intercalated cell,Atp6v0b
Collecting duct intercalated cell,Atp6v0c
Collecting duct intercalated cell,Atp6v0d2
Collecting duct intercalated cell,Atp6v0e
Collecting duct intercalated cell,Atp6v1a
Collecting duct intercalated cell,Atp6v1b1
Collecting duct intercalated cell,Atp6v1c2
Collecting duct intercalated cell,Atp6v1d
Collecting duct intercalated cell,Atp6v1e1
Collecting duct intercalated cell,Atp6v1g3
Collecting duct intercalated cell,Atp6v1h
Collecting duct intercalated cell,Avpr1a
Collecting duct intercalated cell,Car12
Collecting duct intercalated cell,Car2
Collecting duct intercalated cell,Chchd10
Collecting duct intercalated cell,Ckmt1
